1 0.725740 0.780404
1 0.633179 0.699975
1 0.631657 0.696288
1 0.633010 0.697716
1 0.629886 0.693259
2 0.769700 0.882299
2 0.823909 0.931946
2 0.788378 0.918867
2 0.802668 0.919420
2 0.875612 1.004851
3 0.823488 1.341070
3 0.819571 0.985984
3 0.819380 0.990829
3 0.815219 0.986401
4 0.986680 1.515136
4 1.135344 1.370263
4 0.992206 1.225970
4 0.994827 1.234874
5 1.066276 1.857286
5 1.075185 1.352071
5 1.091411 1.396959
5 1.080526 1.371416
6 1.201221 1.854277
6 1.144311 1.490283
6 1.153054 1.498741
6 1.166847 1.513880
